UPS 3 Day Select,,,,,,,
"The ideal mix of economy and guaranteed time delivery, 3 Day Select features delivery within three business days",,,,,,,
throughout the continuous 48 states.,,,,,,,

Any fraction of a pound over the weight shown takes the next higher rate.,,,,,,,
,,,,,,,
Weight,Zone 302,Zone 303,Zone 304,Zone 305,Zone 306,Zone 307,Zone 308
134 ,$57.60,$69.80,$83.10,$96.80,$113.20,$124.10,$137.50
135 ,$58.00,$70.30,$83.70,$97.50,$114.00,$125.00,$138.40
136 ,$58.40,$70.80,$84.30,$98.20,$114.80,$125.90,$139.40
137 ,$58.80,$71.30,$84.90,$98.90,$115.60,$126.80,$140.30
138 ,$59.20,$71.80,$85.50,$99.60,$116.40,$127.70,$141.30
139 ,$59.60,$72.30,$86.10,$100.30,$117.20,$128.60,$142.30
140 ,$60.00,$72.80,$86.70,$101.00,$118.00,$129.50,$143.30
141 ,$60.50,$73.30,$87.30,$101.70,$118.80,$130.40,$144.30
142 ,$60.90,$73.80,$87.90,$102.40,$119.60,$131.30,$145.30
143 ,$61.30,$74.20,$88.40,$103.00,$120.40,$132.20,$146.30
144 ,$61.70,$74.70,$88.90,$103.60,$121.20,$133.10,$147.30
145 ,$62.10,$75.20,$89.50,$104.30,$122.00,$134.00,$148.30
146 ,$62.50,$75.70,$90.10,$105.00,$122.80,$134.90,$149.30
147 ,$62.90,$76.20,$90.70,$105.70,$123.60,$135.80,$150.30
148 ,$63.30,$76.70,$91.30,$106.40,$124.40,$136.70,$151.20
149 ,$63.70,$77.20,$91.90,$107.10,$125.20,$137.60,$152.10
150 ,$64.10,$77.70,$92.50,$107.70,$126.00,$138.50,$153.00
